trip_id,arrival_time,departure_time,stop_id,sequence,pickup_type,drop_off_type
1077411,16:59:00,16:59:00,3190,14,0,0
1077412,16:29:00,16:29:00,3190,14,0,0
1077413,15:59:00,15:59:00,3190,14,0,0
1077414,15:29:00,15:29:00,3190,14,0,0
1077415,14:59:00,14:59:00,3190,14,0,0
1077416,14:29:00,14:29:00,3190,14,0,0
1077417,13:59:00,13:59:00,3190,14,0,0
1077418,13:29:00,13:29:00,3190,14,0,0
1077419,12:59:00,12:59:00,3190,14,0,0
1077420,12:29:00,12:29:00,3190,14,0,0
1077421,11:59:00,11:59:00,3190,14,0,0
1077422,11:29:00,11:29:00,3190,14,0,0
1077423,10:59:00,10:59:00,3190,14,0,0
1077424,10:31:00,10:31:00,3190,14,0,0
1077425,10:01:00,10:01:00,3190,14,0,0
1077426,9:31:00,9:31:00,3190,14,0,0
1077427,9:01:00,9:01:00,3190,14,0,0
1077428,8:29:00,8:29:00,3190,14,0,0
1077429,7:59:00,7:59:00,3190,14,0,0
1077430,7:29:00,7:29:00,3190,14,0,0
1077431,6:59:00,6:59:00,3190,14,0,0
1077432,8:14:00,8:14:00,3190,14,0,0
1077452,21:46:00,21:46:00,3190,14,0,0
1077453,20:46:00,20:46:00,3190,14,0,0
1077454,19:46:00,19:46:00,3190,14,0,0
1077455,19:01:00,19:01:00,3190,14,0,0
1077456,18:16:00,18:16:00,3190,14,0,0
1077457,17:31:00,17:31:00,3190,14,0,0
1077458,16:46:00,16:46:00,3190,14,0,0
1077459,16:01:00,16:01:00,3190,14,0,0
1077460,15:16:00,15:16:00,3190,14,0,0
1077461,14:31:00,14:31:00,3190,14,0,0
1077462,13:46:00,13:46:00,3190,14,0,0
1077463,13:01:00,13:01:00,3190,14,0,0
1077464,12:16:00,12:16:00,3190,14,0,0
1077465,11:31:00,11:31:00,3190,14,0,0
1077466,10:46:00,10:46:00,3190,14,0,0
1077467,10:01:00,10:01:00,3190,14,0,0
1077468,9:16:00,9:16:00,3190,14,0,0
1077469,8:16:00,8:16:00,3190,14,0,0
1077470,7:16:00,7:16:00,3190,14,0,0
1077489,21:16:00,21:16:00,3190,14,0,0
1077490,20:16:00,20:16:00,3190,14,0,0
1077491,19:16:00,19:16:00,3190,14,0,0
1077492,18:31:00,18:31:00,3190,14,0,0
1077493,17:46:00,17:46:00,3190,14,0,0
1077494,17:01:00,17:01:00,3190,14,0,0
1077495,16:16:00,16:16:00,3190,14,0,0
1077496,15:31:00,15:31:00,3190,14,0,0
1077497,14:46:00,14:46:00,3190,14,0,0
1077498,14:01:00,14:01:00,3190,14,0,0
1077499,13:16:00,13:16:00,3190,14,0,0
1077500,12:31:00,12:31:00,3190,14,0,0
1077501,11:46:00,11:46:00,3190,14,0,0
1077502,11:01:00,11:01:00,3190,14,0,0
1077503,10:16:00,10:16:00,3190,14,0,0
1077504,9:16:00,9:16:00,3190,14,0,0
1077505,8:16:00,8:16:00,3190,14,0,0
1077506,7:16:00,7:16:00,3190,14,0,0
1076958,21:46:00,21:46:00,3192,39,0,0
1076959,21:16:00,21:16:00,3192,39,0,0
1076960,20:46:00,20:46:00,3192,39,0,0
1076961,20:16:00,20:16:00,3192,39,0,0
1076962,19:46:00,19:46:00,3192,39,0,0
1076963,19:16:00,19:16:00,3192,39,0,0
1076964,18:46:00,18:46:00,3192,39,0,0
1076965,18:16:00,18:16:00,3192,39,0,0
